[SW]:,Diamond_64bit3.8.0.86.0
[synthesis]:,lse
[Speed grade]:,6
[Target Fmax]:,
[Note]:
[Updated date]:,Mon Jun 20 16:02:20 2016
Design,Version,Device,Register,Slice,LUT,IO,EBR,DRAM,DSP,DSP_MULT,DSP_ALU,PCS,distributed_RAM,CCU,MULT18X18D,MULT9X9D,ALU54B,ALU24B,PRADD18A,PRADD9A,MULT36X36B,MULT18X18B,MULT18X18MACB,MULT18X18ADDSUBB,MULT18X18ADDSUBSUMB,MULT9X9B,MULT9X9ADDSUBB,MULT18X18C,MULT9X9C,ALU54A,ALU24A,MapCPUTime,MapPeakMem,Seed/Target,PAP,PAPFactor,targetFmax,fmax,clkName,logic,route,level,twrLabel,score_setup,score_hold,Pass_num,S_pref_num,H_pref_num,CCU_lse,LsePeakMem,PostLSEClk,PostLSEFmax,SynPeakMem,lse_CPU_Time,srr_Cpu_time,srr_Real_time,mrp_CPU_Time,mrp_REAL_Time,Complete,ParPeakMem,Par_Done,par_CPU_Time,par_REAL_Time,Total_cpu_time,Total_real_time
40_cmos_to_dphy_cs2_raw8_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,798,1291,2150,15,4,432,NA,NA,NA,NA,432,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62,260.00MHz,56.79%,-,260.000,147.667,sn5wht/rdcnt[9],32.8%,67.2%,11,Target_fmax_260.00MHz_Impl_PrjName_Impl,13731795,4048,36,4\4,4\4,NA,88.945,cmos_to_dphy_gen_pix_clk_i_c,980.392,NA,4.493,NA,NA,1,2,YES,130.118,YES,47,48,52,50
41_cmos_to_dphy_cs2_rgb888_900,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,798,1314,2189,31,4,432,NA,NA,NA,NA,432,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62,190.00MHz,77.20%,-,190.000,146.671,cmos_to_dphy_gen_inst/cmos_2_dphy_ip_in   st/byte_clk_w,NA,NA,NA,Target_fmax_190.00MHz_Impl_PrjName_Impl,3310332,3757,36,4\2,4\4,NA,89.727,cmos_to_dphy_gen_pix_clk_i_c,980.392,NA,4.680,NA,NA,1,2,YES,130.408,YES,45,46,50,48
42_cmos_to_dphy_cs2_yuv422_8_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,798,1292,2149,15,4,432,NA,NA,NA,NA,432,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62,150.00MHz,100.99%,-,150.000,151.492,cmos_to_dphy_gen_inst/cmos_2_dphy_ip_in   st/byte_clk_w,NA,NA,NA,Target_fmax_150.00MHz_Impl_PrjName_Impl,0,1710,36,4\0,4\1,NA,89.035,cmos_to_dphy_gen_pix_clk_i_c,980.392,NA,4.711,NA,NA,1,2,YES,133.779,YES,49,50,54,52
43_csi2_to_csi2_400_left,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
44_csi2_to_csi2_400_virtual,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
45_dphy_to_cmos_dsi_rgb666_loose_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,705,631,834,23,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,160.00MHz,88.10%,-,160.000,140.964,dphy_to_cmos_gen_inst/clk_byte_fr,32.8%,67.2%,8,Target_fmax_160.00MHz_Impl_PrjName_Impl,588315,1877,36,5\2,5\5,NA,73.313,\dphy_to_cmos_gen_inst/clk_pixel,980.392,NA,2.278,NA,NA,0,0,YES,101.782,YES,20,21,22,21
46_dphy_to_cmos_dsi_rgb666_pack_500,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,705,631,834,23,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,160.00MHz,88.10%,-,160.000,140.964,dphy_to_cmos_gen_inst/clk_byte_fr,32.8%,67.2%,8,Target_fmax_160.00MHz_Impl_PrjName_Impl,588315,1877,36,5\2,5\5,NA,73.598,\dphy_to_cmos_gen_inst/clk_pixel,980.392,NA,2.699,NA,NA,0,0,YES,101.782,YES,21,21,23,21
47_dsi_to_fpdlink_dsi_rgb666_loose_160,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,706,664,880,8,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,180.00MHz,79.48%,-,180.000,143.062,sn5wht/rdcnt[9],40.8%,59.2%,19,Target_fmax_180.00MHz_Impl_PrjName_Impl,4403997,2152,36,8\2,8\5,NA,75.836,\dsi_to_fpdlink_gen_inst/clk_pixel_w,980.392,NA,3.073,NA,NA,0,0,YES,102.785,YES,18,18,21,18
48_dsi_to_fpdlink_dsi_rgb666_pack_770,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,728,672,900,8,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51,190.00MHz,74.90%,-,190.000,142.308,clk_byte_fr_dphy_ch0_w,34.0%,66.0%,9,Target_fmax_190.00MHz_Impl_PrjName_Impl,6805605,2365,36,8\3,8\5,NA,75.918,clk_byte_fr_dphy_ch0_w,438.982,NA,2.808,NA,NA,0,0,YES,104.153,YES,19,19,21,19
49_dsi_to_fpdlink_dsi_rgb888_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,720,604,774,9,3,0,NA,NA,NA,NA,0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,200.00MHz,69.02%,-,200.000,138.045,clk_byte_fr_dphy_ch0_w,32.9%,67.1%,9,Target_fmax_200.00MHz_Impl_PrjName_Impl,10293074,2264,36,8\3,8\5,NA,73.410,clk_byte_fr_dphy_ch0_w,438.982,NA,3.136,NA,NA,0,0,YES,101.859,YES,16,18,19,18
50_fpdlink_to_dsi_rgb666_222,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,33,35,65,15,0,0,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,360.00MHz,57.09%,-,360.000,205.508,clk_c,41.0%,59.0%,9,Target_fmax_360.00MHz_Impl_PrjName_Impl,496153,0,36,1\1,1\0,15,56.914,clk_c,157.978,NA,0.624,NA,NA,0,0,YES,78.189,YES,7,8,7,8
51_fpdlink_to_dsi_rgb888_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,33,35,65,15,0,0,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,360.00MHz,57.09%,-,360.000,205.508,clk_c,41.0%,59.0%,9,Target_fmax_360.00MHz_Impl_PrjName_Impl,496153,0,36,1\1,1\0,15,56.926,clk_c,157.978,NA,0.718,NA,NA,0,0,YES,78.197,YES,8,8,8,8
Gen4_board,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,138,132,206,17,0,0,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,220.00MHz,82.51%,-,220.000,181.521,CLK_c,38.7%,61.3%,9,Target_fmax_220.00MHz_Impl_PrjName_Impl,599912,805,36,1\1,1\1,35,61.180,CLK_c,148.943,NA,1.232,NA,NA,0,0,YES,81.867,YES,9,10,10,10
MariaRodriquez_Tellab2,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,265,277,395,26,0,0,NA,NA,NA,NA,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,140.00MHz,111.10%,-,140.000,155.545,Clk25m_c,29.7%,70.3%,7,Target_fmax_140.00MHz_Impl_PrjName_Impl,0,0,36,1\0,1\0,36,82.348,Clk25m_c,115.221,NA,2.075,NA,NA,0,0,YES,90.034,YES,12,13,14,13
