[SW]:,Diamond_64bit3.8.0.86.0
[synthesis]:,synpL201603Lbeta
[Speed grade]:,6
[Target Fmax]:,
[Note]:
[Updated date]:,Mon Jun 20 16:01:47 2016
Design,Version,Device,Register,Slice,LUT,IO,EBR,DRAM,DSP,DSP_MULT,DSP_ALU,PCS,distributed_RAM,CCU,MULT18X18D,MULT9X9D,ALU54B,ALU24B,PRADD18A,PRADD9A,MULT36X36B,MULT18X18B,MULT18X18MACB,MULT18X18ADDSUBB,MULT18X18ADDSUBSUMB,MULT9X9B,MULT9X9ADDSUBB,MULT18X18C,MULT9X9C,ALU54A,ALU24A,MapCPUTime,MapPeakMem,Seed/Target,PAP,PAPFactor,targetFmax,fmax,clkName,logic,route,level,twrLabel,score_setup,score_hold,Pass_num,S_pref_num,H_pref_num,CCU_lse,LsePeakMem,PostLSEClk,PostLSEFmax,SynPeakMem,lse_CPU_Time,srr_Cpu_time,srr_Real_time,mrp_CPU_Time,mrp_REAL_Time,Complete,ParPeakMem,Par_Done,par_CPU_Time,par_REAL_Time,Total_cpu_time,Total_real_time
41_cmos_to_dphy_cs2_rgb888_900,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,798,1313,2189,31,4,432,NA,NA,NA,NA,432,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62,180.00MHz,80.82%,-,180.000,145.476,cmos_to_dphy_gen_inst/cmos_2_dphy_ip_in   st/byte_clk_w,NA,NA,NA,Target_fmax_180.00MHz_Impl_PrjName_Impl,1921122,3319,36,4\2,4\4,NA,NA,NA,NA,145,NA,3,4,1,0,YES,130.544,YES,45,45,49,49
42_cmos_to_dphy_cs2_yuv422_8_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,798,1290,2149,15,4,432,NA,NA,NA,NA,432,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61,300.00MHz,48.09%,-,300.000,144.279,sn5wht/rdcnt[9],41.2%,58.8%,19,Target_fmax_300.00MHz_Impl_PrjName_Impl,18274438,3494,36,4\4,4\4,NA,NA,NA,NA,145,NA,4,5,1,2,YES,130.298,YES,39,40,44,47
43_csi2_to_csi2_400_left,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
44_csi2_to_csi2_400_virtual,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
45_dphy_to_cmos_dsi_rgb666_loose_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,705,630,834,23,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,360.00MHz,39.68%,-,360.000,142.837,dphy_to_cmos_gen_inst.clk_byte_fr_o,31.5%,68.5%,7,Target_fmax_360.00MHz_Impl_PrjName_Impl,28814540,1546,36,5\5,5\5,NA,NA,NA,NA,145,NA,2,1,0,0,YES,101.761,YES,17,18,19,19
46_dphy_to_cmos_dsi_rgb666_pack_500,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,705,630,834,23,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,360.00MHz,39.68%,-,360.000,142.837,dphy_to_cmos_gen_inst.clk_byte_fr_o,31.5%,68.5%,7,Target_fmax_360.00MHz_Impl_PrjName_Impl,28814540,1546,36,5\5,5\5,NA,NA,NA,NA,145,NA,2,3,0,0,YES,101.757,YES,16,17,18,20
47_dsi_to_fpdlink_dsi_rgb666_loose_160,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,706,665,881,8,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51,220.00MHz,63.58%,-,220.000,139.880,dsi_to_fpdlink_gen_inst/clk_byte_fr_dph   y_ch0_w,NA,NA,NA,Target_fmax_220.00MHz_Impl_PrjName_Impl,13932180,2246,36,8\4,8\5,NA,NA,NA,NA,145,NA,2,3,0,0,YES,103.084,YES,18,20,20,23
48_dsi_to_fpdlink_dsi_rgb666_pack_770,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,728,672,901,8,2,0,NA,NA,NA,NA,0,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51,270.00MHz,52.19%,-,270.000,140.924,clk_byte_fr_dphy_ch0_w,29.5%,70.5%,8,Target_fmax_270.00MHz_Impl_PrjName_Impl,20991832,1837,36,8\5,8\6,NA,NA,NA,NA,145,NA,2,3,0,0,YES,103.756,YES,17,17,19,20
49_dsi_to_fpdlink_dsi_rgb888_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,720,605,775,9,3,0,NA,NA,NA,NA,0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,180.00MHz,79.26%,-,180.000,142.674,clk_byte_fr_dphy_ch0_w,36.0%,64.0%,11,Target_fmax_180.00MHz_Impl_PrjName_Impl,4470933,2181,36,8\2,8\6,NA,NA,NA,NA,145,NA,2,3,0,0,YES,101.966,YES,14,15,16,18
50_fpdlink_to_dsi_rgb666_222,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,29,32,64,15,0,0,NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,310.00MHz,80.69%,-,310.000,250.125,clk_c,30.6%,69.4%,4,Target_fmax_310.00MHz_Impl_PrjName_Impl,83199,0,36,1\1,1\0,13,NA,NA,NA,145,NA,1,1,0,0,YES,77.631,YES,8,9,9,10
51_fpdlink_to_dsi_rgb888_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,29,32,64,15,0,0,NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,310.00MHz,80.69%,-,310.000,250.125,clk_c,30.6%,69.4%,4,Target_fmax_310.00MHz_Impl_PrjName_Impl,83199,0,36,1\1,1\0,13,NA,NA,NA,145,NA,1,1,0,0,YES,77.603,YES,7,8,8,9
Gen4_board,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,132,133,231,17,0,0,NA,NA,NA,NA,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,200.00MHz,88.50%,-,200.000,176.991,CLK_c,37.7%,62.3%,9,Target_fmax_200.00MHz_Impl_PrjName_Impl,115495,386,36,1\1,1\1,43,NA,NA,NA,147,NA,2,2,0,0,YES,82.047,YES,10,11,12,13
MariaRodriquez_Tellab2,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,273,261,408,26,0,0,NA,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,280.00MHz,66.14%,-,280.000,185.185,Clk25m_c,40.1%,59.9%,7,Target_fmax_280.00MHz_Impl_PrjName_Impl,1486237,1592,36,1\1,1\1,30,NA,NA,NA,156,NA,2,2,0,0,YES,86.397,YES,8,9,10,11
